hash,message,.text,.data,.bss
1b50bc8,refactor-simplification: removing of generic static type parameter (part 2),13386,398,14
d16f9d1,refactor-simplification: removing of generic static type parameter,13372,398,14
f9b8203,doc,13270,406,14
a9ba469,refactor: constructorfunctions  imported to class,13270,406,14
1ec5393,temp: minor change,13270,406,14
0ef4d92,refactor: function extraced from one file to another,13102,406,14
ded94ea,minor change,13102,406,14
356ac62,formating,13102,406,14
1859c3b,refactor: function extraction,13102,406,14
a3d8cb2,feat: Accessors can know be accessed behind a DataBase class,13048,406,14
2f98e3d,feat: Accessor now can be use with non 'static lifetime variable,13044,406,14
2b465d9,minor change: created indirect access to static variable through function,12928,412,22
a895d50,feat: Optional Field can  be constructed with arbitrary quantity of discrete options,12928,412,22
c3a1d4b,minor change,12666,404,22
694292f,doc: removed comments that may become obsolate fast thus unmanaged,12614,404,22
91c0a58,refactor: function extraction,12614,404,22
af2b867,removed unused code,12666,404,22
7f4bbcc,refactor: MenuItem construction simplification,11854,404,22
9b6241d,refactor: function extraction,12054,404,16
45c4aec,refactor: removed unused code,12054,404,16
b348f1c,refactor: Accessor is made a trait instead of just a type,12054,404,16
7b3a7c7,refactor: removed callback as an initialization method of menu item,12054,404,16
499bc07,refactor: introduced lifetime for submenu and menuitem types,12726,404,20
606d92d,refactor: simplified SubMenu (removed static polimorphism),12620,404,20
db05d93,feat: Menu execucao,3836,0,14
5b9a6b2,feat: Main menu + Menu Modo Manual,3670,0,14
48d185b,temp: constructing main_menu inside new menu_manager concept,3654,0,14
ab634c1,refactor: introduced type alias,4482,128,14
dd4b495,feat: introduced helper function,4482,128,14
f10b2dc,refactor: remove the need for an 'EmptyWidget',4482,128,14
64222dc,feat: introduction of  'dynamic dispatch' in place of 'static dispatch',5056,140,14
cd41b42,feat: now string can be abstracted from rest in flash or sram memory.,4158,0,14
41a9f1a,minor change,3558,0,14
94369c1,refactor: function extraction from type to another type,3558,0,14
45e161d,refactor: simplification,3558,0,14
0c49217,refactor: type transformation,3558,0,14
9a58822,feat: introduction of menu_manager,3146,0,14
95d6f04,feat: lcd rendering by specified frames_per_second rate,12446,404,20
c69bab7,minor change,12276,404,20
de0f841,refactor: simplification,12276,404,20
8123222,refactor: formating,12252,404,20
c1f5958,bugfix: retangular wave generator,12838,402,20
496fc1c,refactor: improve type safety extracting to enum,12630,402,20
5481be2,refactoring: simplification,12630,402,20
1cd454f,refactor: improve iterability,12468,402,20
404c123,formating,11958,402,20
b627f8d,doc: added information of estimated size in bytes of some data structures,12022,402,20
0eb18d6,minor change,12022,402,20
0ddc7ee,refactor: make 'Point' generic,12022,402,20
1e56dc6,minor change,12022,402,20
2133817,refactor: bugfix and improvement of the rectangular wave generator,12022,402,20
d6e0ed7,feat: MenuItem now is agnostic against Optional and Numerical fields widgets,11762,402,20
136738a,refactor: makes 'Field' Widget payload's agnostic,10600,396,20
c6cdb42,refactor: extracted type from type (drawing part) to make Field agnostic,10730,396,20
d189968,refactor: extraction of function from type to type,10520,396,20
9e7d7cd,refactor: extracted functions from a type to other types;,10534,396,20
5ebdcb8,refactor: extracted new type named 'Numerical' from Field Widget,11214,396,20
a2d1210,refact: function extraction,11340,396,20
d0752c0,refactor: added Accessor<T> to Optional Widget,11340,396,20
eec5e2d,feat: reintroduced Accessor<T> to abstract Field Widget memory access,11340,396,20
573cc92,refact: removed unused file,11958,396,20
7e042db,refactor: type renamed,11958,396,20
e7a5cab,minor change,11958,396,20
aca6e36,refact: extracted function to file (widget tests),4722,122,14
bc9ec7e,refact: introduced an static polymorphic indirection,4714,122,14
b138549,refactor: extracted sub-module from file,4714,122,14
98a58d6,feat: introduced the Optional Widget,4714,122,14
012466d,refactor: removed unused code,11344,396,20
2a1311a,"feat: Field Widget features like number of digits, valid_range, etc",11522,396,20
791a290,feat: Field widget now can initialize in arbitrary cursor position,13964,514,20
c84a91e,refactory: function extraction,13784,492,14
91cbe7a,refact: improved menu field type formating,13762,492,14
c8ad76d,feat: SubMenu now saves data in memory,13016,492,14
9452f8e,refactor: reduced type memory footprint,8752,0,14
15c2fa8,refactor: removed unnecessary code,9546,0,14
b5e2ba1,refactor: added menu scrolling,9648,0,14
79fb791,refactor: removed Widget trait from Caption,9450,0,14
8b67f34,temp: introduced menu scrolling,9450,0,14
5c6a9a4,refactored: constructor of sub_menu,9464,0,14
61bb8bf,refactor: extracted submenu type,8224,0,14
d651c3c,feat: MenuItem and Field can now return back a value,8214,0,14
d1e8f64,refactor: function extraction,6168,0,14
c4052e8,refactor: file rename,6208,0,14
55f20d1,minor change,6208,0,14
958581a,refactor: file extraction,6208,0,14
20278ac,feat: field can now save or cancel its editing value,6208,0,14
3b0e8b7,minor changes,6762,0,14
788e2c3,refactor: 'field' dependency of widget trait removed,6762,0,14
947167b,feat: helper to convert u16 to string,6762,0,14
cbf3092,bugfix: added dependencies,6762,0,14
cc7b13f,feat: introduced Ram database,6762,0,14
03d3525,feat: added print string to canvas type,4752,0,14
e84345f,feat: added application DataBase,4752,0,14
4eb4484,"feat: added sub-menu ""Programa""",6762,0,14
f58d822,refact: removed one layer of abstraction,4124,0,14
076b3b2,feat: added menu Execucao,3770,0,14
144b0de,feat: added main_menu,3622,0,14
830cc8e,feat: added Splash  Widget,6032,0,14
37df949,refactor: moved code between files,3982,290,9
2b7400c,minor change,3982,278,9
6f2b496,minor change,3976,278,9
a7fcb14,feat: parser of the string of menuitem construction,3962,268,9
8684220,feat: conveter from flashstring to string,5604,0,14
10bb21e,minor change,5604,0,14
2bc3985,refactor: reincorporate external file,5604,0,14
2686d53,rafactor: extracted some types and constants,5604,0,14
ee4ce68,refactor: file renaming,5894,0,14
2da95d5,refactor: removed indirect use statement,5894,0,14
dc09556,refac: file renaming,5894,0,14
8e7e58a,refactor: extraction of file sub-modules,5894,0,14
81a2a14,refactor: modules extraction,5894,0,14
91fa6bb,removed unused code,5894,0,14
c30c261,feat: FlashString type working,7998,0,14
a6f6dec,chore: makefile can now fast upload,2056,0,9
de253fa,Proposal of solution to store text data in flash memory,2056,0,9
af1b100,temp: investigation on introducing string in flash memory,8458,0,14
2159565,"bugfix: menu, canvas rendeing",7456,0,14
ca34b88,feat: introduced scrolled menu,7420,0,14
29a817a,refactor: Simplification by introduzing 'heapless' lib in current code,6716,0,14
b0d25ae,refactor: removed unused variable,6000,0,14
bc5e239,refactor: simplification of 'caption' widget,6000,0,14
2f336d9,Merge branch 'heapless' into menu,5998,0,14
